Run,Energy_keV,Tilt_deg,Rp_nm,Lateral_Range_nm,Vacancies_per_Ion,Fluence_ions_cm2,Estimated_Vacancy_Events_cm2
5,100.0,15.0,99.3,44.0,826.9,100000000000000.0,8.269e+16
5,100.0,15.0,99.3,44.0,826.9,500000000000000.0,4.1345e+17
5,100.0,15.0,99.3,44.0,826.9,1000000000000000.0,8.269e+17
5,100.0,15.0,99.3,44.0,826.9,5000000000000000.0,4.1345e+18
4,100.0,7.0,102.1,40.2,828.4,100000000000000.0,8.284e+16
4,100.0,7.0,102.1,40.2,828.4,500000000000000.0,4.142e+17
4,100.0,7.0,102.1,40.2,828.4,1000000000000000.0,8.284e+17
4,100.0,7.0,102.1,40.2,828.4,5000000000000000.0,4.142e+18
3,100.0,0.0,102.8,37.0,826.7,100000000000000.0,8.267e+16
3,100.0,0.0,102.8,37.0,826.7,500000000000000.0,4.1335e+17
3,100.0,0.0,102.8,37.0,826.7,1000000000000000.0,8.267e+17
3,100.0,0.0,102.8,37.0,826.7,5000000000000000.0,4.1335e+18
